City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,tsurugi-asahimachi,36.45,136.6333,289.19,84,66,2.79,JP,1697361949
321,morehead city,34.7229,-76.726,291.15,87,0,6.17,US,1697361909
322,tchibanga,-2.85,11.0333,298.62,84,99,0.17,GA,1697361951
323,san luis de la loma,17.2706,-100.8939,298.64,93,100,3.05,MX,1697361952
324,nyurba,63.2842,118.3319,264.84,88,16,0.89,RU,1697361953
325,alghero,40.5589,8.3181,298.2,61,40,1.54,IT,1697361956
326,ruidoso,33.3317,-105.673,283.3,65,0,1.54,US,1697361957
327,hanceville,34.0607,-86.7675,287.29,70,100,4.4,US,1697361958
328,praia,14.9215,-23.5087,301.45,89,75,4.12,CV,1697361959
329,sao jose da coroa grande,-8.8978,-35.1478,298.61,71,60,5.73,BR,1697361960
330,niafunke,15.9322,-3.9906,306.74,11,4,5.71,ML,1697361961
331,ponta delgada,37.7333,-25.6667,295.55,100,75,4.63,PT,1697361962
332,tanjung sepat,2.6579,101.5629,306.23,58,20,1.54,MY,1697361963
333,moires,35.0532,24.8744,298.83,61,0,3.13,GR,1697361965
334,rundu,-17.9333,19.7667,307.51,22,62,2.1,NA,1697361966
335,port saint john's,-31.6229,29.5448,292.59,65,96,2.7,ZA,1697361967
336,los llanos de aridane,28.6585,-17.9182,297.01,65,0,3.09,ES,1697361968
337,tosontsengel,48.7567,98.2839,287.45,22,95,6.83,MN,1697361969
338,kavaratti,10.5669,72.642,299.98,79,100,5.0,IN,1697361970
339,fredericton,45.9454,-66.6656,283.06,93,20,2.06,CA,1697361971
340,sandnessjoen,66.0217,12.6316,275.44,60,95,15.22,NO,1697361972
341,ergani,38.2653,39.7621,295.17,23,99,2.05,TR,1697361973
342,iwon-up,40.3231,128.6553,290.7,65,27,1.93,KP,1697361975
343,paka,4.6374,103.4368,304.11,79,40,2.57,MY,1697361976
344,butha-buthe,-28.8333,28.5,286.62,35,0,3.36,LS,1697361977
345,poronaysk,49.2167,143.1167,284.42,75,100,3.03,RU,1697361978
346,cannonvale,-20.2833,148.7,295.81,78,60,3.45,AU,1697361979
347,bikenibeu village,1.3673,173.1241,301.13,78,75,2.06,KI,1697361980
348,tabou,4.423,-7.3528,299.19,88,68,2.82,CI,1697361981
349,pandan,14.0453,124.1694,301.13,76,36,2.73,PH,1697361982
350,lerwick,60.1545,-1.1494,277.15,61,96,8.45,GB,1697361983
351,mombetsu,44.3525,143.3525,286.04,85,55,1.36,JP,1697361984
352,yekaterinoslavka,50.3734,129.1139,274.74,56,81,6.82,RU,1697361986
353,san ferdinando di puglia,41.3026,16.0705,299.26,42,0,4.35,IT,1697361988
354,andrelandia,-21.7397,-44.3092,290.31,92,100,1.42,BR,1697361989
355,greater sudbury,46.49,-80.99,279.29,89,100,3.13,CA,1697361990
356,riohacha,11.5444,-72.9072,298.66,90,59,2.36,CO,1697361991
357,kamina,-8.7386,24.9906,300.57,51,98,1.98,CD,1697361992
358,hithadhoo,-0.6,73.0833,300.75,77,18,5.58,MV,1697361994
359,anna regina,7.2644,-58.5077,299.48,86,19,3.13,GY,1697361995
360,malango,-2.9627,119.9001,299.22,66,16,1.33,ID,1697361996
361,menaka,15.9182,2.4022,308.23,14,17,4.93,ML,1697361997
